"","id","Lead_Investors","Lead_Investors_1","Lead_Investors_2","Lead_Investors_3","Lead_Investors_4","Lead_Investors_5","Lead_Investors_6","Lead_Investors_7","Lead_Investors_8","Lead_Investors_9","Lead_Investors_NA"
"112",112,"2",0,1,0,0,0,0,0,0,0,0
"113",113,"2",0,1,0,0,0,0,0,0,0,0
"114",114,"3",0,0,1,0,0,0,0,0,0,0
"115",115,"2",0,1,0,0,0,0,0,0,0,0
"116",116,"1",1,0,0,0,0,0,0,0,0,0
"117",117,"3",0,0,1,0,0,0,0,0,0,0
"118",118,"2",0,1,0,0,0,0,0,0,0,0
"119",119,"3",0,0,1,0,0,0,0,0,0,0
"120",120,"2",0,1,0,0,0,0,0,0,0,0
"121",121,"4",0,0,0,1,0,0,0,0,0,0
"122",122,"1",1,0,0,0,0,0,0,0,0,0
"123",123,"4",0,0,0,1,0,0,0,0,0,0
"124",124,"1",1,0,0,0,0,0,0,0,0,0
"125",125,"3",0,0,1,0,0,0,0,0,0,0
"126",126,"1",1,0,0,0,0,0,0,0,0,0
"127",127,"2",0,1,0,0,0,0,0,0,0,0
"128",128,"1",1,0,0,0,0,0,0,0,0,0
"129",129,"5",0,0,0,0,1,0,0,0,0,0
"130",130,"2",0,1,0,0,0,0,0,0,0,0
"131",131,"2",0,1,0,0,0,0,0,0,0,0
"132",132,"1",1,0,0,0,0,0,0,0,0,0
"133",133,"2",0,1,0,0,0,0,0,0,0,0
"134",134,"2",0,1,0,0,0,0,0,0,0,0
"135",135,"1",1,0,0,0,0,0,0,0,0,0
"136",136,"7",0,0,0,0,0,0,1,0,0,0
"137",137,"1",1,0,0,0,0,0,0,0,0,0
"138",138,"2",0,1,0,0,0,0,0,0,0,0
"139",139,"1",1,0,0,0,0,0,0,0,0,0
"140",140,"2",0,1,0,0,0,0,0,0,0,0
"141",141,"NA",0,0,0,0,0,0,0,0,0,1
"142",142,"1",1,0,0,0,0,0,0,0,0,0
"143",143,"6",0,0,0,0,0,1,0,0,0,0
"144",144,"3",0,0,1,0,0,0,0,0,0,0
"145",145,"2",0,1,0,0,0,0,0,0,0,0
"146",146,"2",0,1,0,0,0,0,0,0,0,0
"147",147,"3",0,0,1,0,0,0,0,0,0,0
"148",148,"1",1,0,0,0,0,0,0,0,0,0
"149",149,"3",0,0,1,0,0,0,0,0,0,0
"150",150,"2",0,1,0,0,0,0,0,0,0,0
"151",151,"5",0,0,0,0,1,0,0,0,0,0
"152",152,"5",0,0,0,0,1,0,0,0,0,0
"153",153,"NA",0,0,0,0,0,0,0,0,0,1
"154",154,"3",0,0,1,0,0,0,0,0,0,0
"155",155,"4",0,0,0,1,0,0,0,0,0,0
"156",156,"1",1,0,0,0,0,0,0,0,0,0
"157",157,"1",1,0,0,0,0,0,0,0,0,0
"158",158,"4",0,0,0,1,0,0,0,0,0,0
"159",159,"1",1,0,0,0,0,0,0,0,0,0
"160",160,"1",1,0,0,0,0,0,0,0,0,0
"161",161,"3",0,0,1,0,0,0,0,0,0,0
"162",162,"1",1,0,0,0,0,0,0,0,0,0
"163",163,"2",0,1,0,0,0,0,0,0,0,0
"164",164,"1",1,0,0,0,0,0,0,0,0,0
"165",165,"NA",0,0,0,0,0,0,0,0,0,1
"166",166,"2",0,1,0,0,0,0,0,0,0,0
"167",167,"1",1,0,0,0,0,0,0,0,0,0
"168",168,"1",1,0,0,0,0,0,0,0,0,0
"169",169,"NA",0,0,0,0,0,0,0,0,0,1
"170",170,"2",0,1,0,0,0,0,0,0,0,0
"171",171,"1",1,0,0,0,0,0,0,0,0,0
"172",172,"5",0,0,0,0,1,0,0,0,0,0
"173",173,"1",1,0,0,0,0,0,0,0,0,0
"174",174,"2",0,1,0,0,0,0,0,0,0,0
"175",175,"4",0,0,0,1,0,0,0,0,0,0
"176",176,"2",0,1,0,0,0,0,0,0,0,0
"177",177,"3",0,0,1,0,0,0,0,0,0,0
"178",178,"2",0,1,0,0,0,0,0,0,0,0
"179",179,"NA",0,0,0,0,0,0,0,0,0,1
"180",180,"3",0,0,1,0,0,0,0,0,0,0
"181",181,"NA",0,0,0,0,0,0,0,0,0,1
"182",182,"3",0,0,1,0,0,0,0,0,0,0
"183",183,"NA",0,0,0,0,0,0,0,0,0,1
"184",184,"2",0,1,0,0,0,0,0,0,0,0
"185",185,"3",0,0,1,0,0,0,0,0,0,0
"186",186,"1",1,0,0,0,0,0,0,0,0,0
"187",187,"3",0,0,1,0,0,0,0,0,0,0
"188",188,"4",0,0,0,1,0,0,0,0,0,0
"189",189,"2",0,1,0,0,0,0,0,0,0,0
"190",190,"1",1,0,0,0,0,0,0,0,0,0
"191",191,"3",0,0,1,0,0,0,0,0,0,0
"192",192,"2",0,1,0,0,0,0,0,0,0,0
"193",193,"4",0,0,0,1,0,0,0,0,0,0
"194",194,"3",0,0,1,0,0,0,0,0,0,0
"195",195,"1",1,0,0,0,0,0,0,0,0,0
"196",196,"1",1,0,0,0,0,0,0,0,0,0
"197",197,"2",0,1,0,0,0,0,0,0,0,0
"198",198,"3",0,0,1,0,0,0,0,0,0,0
