"","id","tr","Trademarks","Trademarks_0to10","Trademarks_10to100","Trademarks_100+","Trademarks_NA"
"809",809,"5","0to10",1,0,0,0
"810",810,"NA","NA",0,0,0,1
"811",811,"NA","NA",0,0,0,1
"812",812,"1","0to10",1,0,0,0
"813",813,"49","10to100",0,1,0,0
"814",814,"0","0to10",1,0,0,0
"815",815,"8","0to10",1,0,0,0
"816",816,"NA","NA",0,0,0,1
"817",817,"2","0to10",1,0,0,0
"818",818,"NA","NA",0,0,0,1
"819",819,"NA","NA",0,0,0,1
"820",820,"NA","NA",0,0,0,1
"821",821,"NA","NA",0,0,0,1
"822",822,"19","10to100",0,1,0,0
"823",823,"NA","NA",0,0,0,1
"824",824,"1","0to10",1,0,0,0
"825",825,"NA","NA",0,0,0,1
"826",826,"3","0to10",1,0,0,0
"827",827,"1","0to10",1,0,0,0
"828",828,"NA","NA",0,0,0,1
"829",829,"NA","NA",0,0,0,1
"830",830,"14","10to100",0,1,0,0
"831",831,"NA","NA",0,0,0,1
"832",832,"NA","NA",0,0,0,1
"833",833,"NA","NA",0,0,0,1
"834",834,"1","0to10",1,0,0,0
"835",835,"6","0to10",1,0,0,0
"836",836,"2","0to10",1,0,0,0
"837",837,"NA","NA",0,0,0,1
"838",838,"5","0to10",1,0,0,0
"839",839,"0","0to10",1,0,0,0
"840",840,"1","0to10",1,0,0,0
"841",841,"4","0to10",1,0,0,0
"842",842,"0","0to10",1,0,0,0
"843",843,"1","0to10",1,0,0,0
"844",844,"30","10to100",0,1,0,0
"845",845,"3","0to10",1,0,0,0
"846",846,"4","0to10",1,0,0,0
"847",847,"NA","NA",0,0,0,1
"848",848,"19","10to100",0,1,0,0
"849",849,"8","0to10",1,0,0,0
"850",850,"0","0to10",1,0,0,0
"851",851,"4","0to10",1,0,0,0
"852",852,"NA","NA",0,0,0,1
"853",853,"17","10to100",0,1,0,0
"854",854,"18","10to100",0,1,0,0
"855",855,"1","0to10",1,0,0,0
"856",856,"13","10to100",0,1,0,0
"857",857,"2","0to10",1,0,0,0
"858",858,"51","10to100",0,1,0,0
"859",859,"2","0to10",1,0,0,0
"860",860,"8","0to10",1,0,0,0
"861",861,"97","10to100",0,1,0,0
"862",862,"NA","NA",0,0,0,1
"863",863,"NA","NA",0,0,0,1
"864",864,"0","0to10",1,0,0,0
"865",865,"1","0to10",1,0,0,0
"866",866,"2","0to10",1,0,0,0
"867",867,"NA","NA",0,0,0,1
"868",868,"9","0to10",1,0,0,0
"869",869,"NA","NA",0,0,0,1
"870",870,"NA","NA",0,0,0,1
"871",871,"NA","NA",0,0,0,1
"872",872,"7","0to10",1,0,0,0
"873",873,"NA","NA",0,0,0,1
"874",874,"59","10to100",0,1,0,0
"875",875,"NA","NA",0,0,0,1
"876",876,"2","0to10",1,0,0,0
"877",877,"1","0to10",1,0,0,0
"878",878,"12","10to100",0,1,0,0
"879",879,"NA","NA",0,0,0,1
"880",880,"1","0to10",1,0,0,0
"881",881,"NA","NA",0,0,0,1
"882",882,"7","0to10",1,0,0,0
"883",883,"NA","NA",0,0,0,1
"884",884,"2","0to10",1,0,0,0
"885",885,"0","0to10",1,0,0,0
"886",886,"3","0to10",1,0,0,0
"887",887,"NA","NA",0,0,0,1
